"","country","gdppc99","lngdp99","ISO_qual","ISO_envt","wtr_pltn","lnpoison","lnintest","UnofEcon","lab_inf","roa","markcom","cor_aart","cor_icrg","xconst45_98","P_execon","gov_eff","EffectLg","Competit","autoc45_98","pright_av","legor_fr","legor_so","legor_ge","legor_sc","legor_en","civil_fh","prop97","prop_hf9","response","sanita_who","expense_heal","cost_priv","steps","procedures","time_99","cost_99","cost_pct"
"54","Norway",32880,10.4006204605103,0.34127289056778,0.0138507001101971,0.204600006341934,3.04681611061096,2.3042459487915,12.1499996185303,NA,0.196007207036018,4.59999990463257,0.143531203269958,0.200000002980232,7,7,1.66621804237366,3,2,0,1,0,0,0,1,0,1,1,5,6.98095512390137,NA,8.39999961853027,683.460021972656,4,4,18,1551.4599609375,0.0500000007450581
"55","Pakistan",470,6.15273284912109,0.00113280001096427,1.56000005517853e-05,0.176300004124641,NA,5.1829628944397,39,60,0.180264204740524,NA,0.94000768661499,0.620000004768372,4.08333015441895,2.65714311599731,-0.744444489479065,0.972221970558167,1.02778005599976,2.41667008399963,0.374612987041473,0,0,0,0,1,0.333333313465118,0.75,2,4.94614315032959,24.5,4.5,0,8,8,50,164.309997558594,0.349999994039536
"56","Panama",3070,8.02943325042725,0.00625229999423027,0,0.292699992656708,NA,4.60604810714722,51.0499992370605,NA,NA,NA,0.839283585548401,0.800000011920929,3.61110997200012,3.1714289188385,-0.276571989059448,1.67441999912262,1.53488004207611,3.24074006080627,0.374612987041473,1,0,0,0,0,0.833333313465118,0.5,3,5.5171480178833,NA,10,225,7,7,15,943.75,0.310000002384186
"57","Peru",2390,7.77904796600342,0.00188750005327165,0.000164099998073652,0.206599995493889,3.21793389320374,5.68105697631836,50.7000007629395,54.5999984741211,0.193109601736069,4.90000009536743,0.755344688892365,0.600000023841858,3.76922988891602,3.90909099578857,0.173464596271515,1.51163005828857,1.20930004119873,2.21153998374939,0.467492192983627,1,0,0,0,0,0.5,0.5,4,4.23999977111816,45,2.40000009536743,314.700012207031,6,8,83,474.700012207031,0.200000002980232
"58","Philippines",1020,6.92755794525146,0.00908510014414787,0.000367200002074242,0.186499997973442,3.2831859588623,4.83309412002563,50,30.6000003814697,0.12474849820137,4.69999980926514,0.764611721038818,0.600000023841858,4.0377402305603,3.79411792755127,0.126460492610931,1.88372004032135,1.51163005828857,2.81132006645203,0.541795670986176,1,0,0,0,0,0.666666686534882,0.75,4,5.75,77.4499969482422,1.60000002384186,61.2900009155273,9,14,46,193.5,0.189999997615814
"59","Poland",3960,8.2839994430542,0.0198705997318029,0.00038809998659417,0.159600004553795,4.254234790802,1.03644394874573,22.7999992370605,NA,0.303423285484314,4.90000009536743,0.531056225299835,0.200000002980232,3.53846001625061,3.40000009536743,0.674021899700165,1,1.09301996231079,5.63462018966675,0.442724406719208,0,1,0,0,0,0.833333313465118,0.75,4,5.73000001907349,NA,5.09999990463257,484.899993896484,9,11,58,1008.09002685547,0.25
"60","Portugal",10600,9.26860904693604,0.0949221029877663,0.00150829995982349,0.144899994134903,2.04541993141174,2.27186489105225,18.4850006103516,NA,0.0612899996340275,5.09999990463257,0.295550912618637,0.200000002980232,3.53846001625061,4.27272701263428,1.1512039899826,1.44185996055603,1.32558000087738,5.01922988891602,0.863777101039886,1,0,0,0,0,1,0.75,4,6.00354290008545,NA,4.59999990463257,703.109985351562,10,12,76,1954.57995605469,0.180000007152557
"61","Romania",1520,7.32646608352661,0.011926899664104,4.42999989900272e-05,0.13740000128746,4.11811399459839,2.5402979850769,22.25,42.7000007629395,NA,NA,0.838882327079773,0.600000023841858,3.1800000667572,2.94117593765259,-0.569548726081848,1,1.32558000087738,5.98000001907349,0.176470592617989,0,1,0,0,0,0.833333313465118,0.25,2,5.35410594940186,49,2.59999990463257,54,13,16,97,232.740005493164,0.150000005960464
"62","Russian Federation",2270,7.72753477096558,0.000898000027518719,0,0.159999996423721,5.41327619552612,4.36411809921265,31.7600002288818,42.2000007629395,0.118164598941803,3.90000009536743,0.890579521656036,0.800000011920929,2.79629993438721,3.52941203117371,-0.594515323638916,1,1,6.29629993438721,0.244581997394562,0,1,0,0,0,0.333333313465118,0.5,3,5.37079620361328,NA,2.29999995231628,301.510009765625,20,20,57,449.299987792969,0.200000002980232
"63","Senegal",510,6.23441076278687,0.000113800000690389,0,0.315100014209747,NA,NA,60,62.4000015258789,NA,NA,0.767013013362885,0.600000023841858,3,3,0.0473930984735489,1,1,4.60525989532471,0.442724406719208,1,0,0,0,0,0.5,0.75,3,4.96000003814697,34,1.75,464.75,16,16,69,628.859985351562,1.23000001907349
